==PROF== Connected to process 44685 (/usr/bin/python3.13)
==PROF== Disconnected from process 44685
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","44685","python3.13","127.0.0.1","kernel_cutlass_kernel_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_1_tensorptrf32_gmem_o_i64i641_2_2048_0","1","7","(128, 1, 1)","(16, 2048, 2)","0","8.6","Command line profiler metrics","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct","%","85.35",
"0","44685","python3.13","127.0.0.1","kernel_cutlass_kernel_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_1_tensorptrf32_gmem_o_i64i641_2_2048_0","1","7","(128, 1, 1)","(16, 2048, 2)","0","8.6","Command line profiler metrics","smsp__warp_issue_stalled_not_selected_per_warp_active.pct","%","0.49",
"0","44685","python3.13","127.0.0.1","kernel_cutlass_kernel_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_1_tensorptrf32_gmem_o_i64i641_2_2048_0","1","7","(128, 1, 1)","(16, 2048, 2)","0","8.6","Command line profiler metrics","smsp__warp_issue_stalled_short_scoreboard_per_warp_active.pct","%","0.98",
"0","44685","python3.13","127.0.0.1","kernel_cutlass_kernel_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_1_tensorptrf32_gmem_o_i64i641_2_2048_0","1","7","(128, 1, 1)","(16, 2048, 2)","0","8.6","GPU Speed Of Light Throughput","DRAM Frequency","hz","6244199942.31",
"0","44685","python3.13","127.0.0.1","kernel_cutlass_kernel_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_1_tensorptrf32_gmem_o_i64i641_2_2048_0","1","7","(128, 1, 1)","(16, 2048, 2)","0","8.6","GPU Speed Of Light Throughput","SM Frequency","hz","1312885775.22",
"0","44685","python3.13","127.0.0.1","kernel_cutlass_kernel_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_1_tensorptrf32_gmem_o_i64i641_2_2048_0","1","7","(128, 1, 1)","(16, 2048, 2)","0","8.6","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","340719",
"0","44685","python3.13","127.0.0.1","kernel_cutlass_kernel_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_1_tensorptrf32_gmem_o_i64i641_2_2048_0","1","7","(128, 1, 1)","(16, 2048, 2)","0","8.6","GPU Speed Of Light Throughput","Memory Throughput","%","94.45",
"0","44685","python3.13","127.0.0.1","kernel_cutlass_kernel_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_1_tensorptrf32_gmem_o_i64i641_2_2048_0","1","7","(128, 1, 1)","(16, 2048, 2)","0","8.6","GPU Speed Of Light Throughput","DRAM Throughput","%","94.45",
"0","44685","python3.13","127.0.0.1","kernel_cutlass_kernel_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_1_tensorptrf32_gmem_o_i64i641_2_2048_0","1","7","(128, 1, 1)","(16, 2048, 2)","0","8.6","GPU Speed Of Light Throughput","Duration","ns","258848",
"0","44685","python3.13","127.0.0.1","kernel_cutlass_kernel_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_1_tensorptrf32_gmem_o_i64i641_2_2048_0","1","7","(128, 1, 1)","(16, 2048, 2)","0","8.6","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","31.02",
"0","44685","python3.13","127.0.0.1","kernel_cutlass_kernel_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_1_tensorptrf32_gmem_o_i64i641_2_2048_0","1","7","(128, 1, 1)","(16, 2048, 2)","0","8.6","GPU Speed Of Light Throughput","L2 Cache Throughput","%","28.49",
"0","44685","python3.13","127.0.0.1","kernel_cutlass_kernel_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_1_tensorptrf32_gmem_o_i64i641_2_2048_0","1","7","(128, 1, 1)","(16, 2048, 2)","0","8.6","GPU Speed Of Light Throughput","SM Active Cycles","cycle","332799.85",
"0","44685","python3.13","127.0.0.1","kernel_cutlass_kernel_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_1_tensorptrf32_gmem_o_i64i641_2_2048_0","1","7","(128, 1, 1)","(16, 2048, 2)","0","8.6","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","30.77",
"0","44685","python3.13","127.0.0.1","kernel_cutlass_kernel_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i64i641_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_1_tensorptrf32_gmem_o_i64i641_2_2048_0","1","7","(128, 1, 1)","(16, 2048, 2)","0","8.6","SpeedOfLight","","","","SOLBottleneck","INF","This workload is utilizing greater than 80.0% of the available compute or memory performance of this device. To further improve performance, work will likely need to be shifted from the most utilized to another unit. Start by analyzing DRAM in the Memory Workload Analysis section.","",""
